"Food Code","Food Name","Scientific Name","Local Name","Food Group","No. of Regions","Tags","Energy [kJ]","Moisture [g]","Ash [mg]","Vitamins [mg]","Total Fat [g]","Cholesterol [mg]","Dietary Fiber [g]","Carbohydrate [g]","Protein [g]","Essential Amino acids [g]","Carotenoids [mg]","Polyphenols [mg]","Phytosterols [mg]","Tocopherols [ug]","Tocotrienols [ug]","Organic acids [mg]","Phytate [mg]","Saponins [g]","Essential Quantity Minerals [mg]","Essential Trace Minerals [mg]","Possibly essential Trace Minerals [ug]","Non-essential Trace Minerals [ug]","Toxic Minerals [ug]","Vitamin A [ug]","Vitamin B [mg]","Ascorbic acids (C) [mg]","Vitamin D [ug]","α-Tocopherol equivalent (E) [ug]","Vitamin K [ug]","Saturated Fatty acids [g]","Unsaturated Fatty acids [g]","Essential Fatty acids [g]","Cis Fatty acids [g]","Trans Fatty acids [g]","Monounsaturated Fatty acids [g]","Polyunsaturated Fatty acids [g]","Cis ω-3 Fatty acids [mg]","Cis ω-6 Fatty acids [g]","Cis ω-9 Fatty acids [g]","Cis ω-5 Fatty acids [mg]","Cis ω-7 Fatty acids [mg]","Insoluble Dietary Fiber [g]","Soluble Dietary Fiber [g]","Available CHO [g]","Starch [g]","Oligosaccharides [mg]","Free Sugars [g]","Essential Amino acids [g]","Conditionally essential Amino acids [g]","Non-essential Amino acids [g]","Retinol [ug]","Thiamine (B1) [ug]","Riboflavin (B2) [ug]","Niacin (B3) [mg]","Pantothenic acid (B5) [ug]","Total B6 [mg]","Biotin (B7) [ug]","Folates (B9) [ug]","Ergocalciferol (D2) [ug]","Cholecalciferol (D3) [ng]","25-OH-D3 [ng]","α-Tocopherol [ug]","β-Tocopherol [ug]","γ-Tocopherol [ug]","δ-Tocopherol [ug]","α-Tocotrienol [ug]","β-Tocotrienol [ug]","γ-Tocotrienol [ug]","δ-Tocotrienol [ug]","Phylloquinones (K1) [ug]","Menaquinones (K2) [ug]","Lutein [ug]","Zeaxanthin [ug]","Lycopene [ug]","β-Cryptoxanthin [ug]","γ-Carotene [ug]","α-Carotene [ug]","β-Carotene [ug]","Aluminium (Al) [ug]","Arsenic (As) [ug]","Cadmium (Cd) [ug]","Calcium (Ca) [mg]","Chromium (Cr) [ug]","Cobalt (Co) [ug]","Copper (Cu) [ug]","Iron (Fe) [mg]","Lead (Pb) [ug]","Lithium (Li) [ug]","Magnesium (Mg) [mg]","Manganese (Mn) [ug]","Mercury (Hg) [ng]","Molybdenum (Mo) [ug]","Nickel (Ni) [ug]","Phosphorus (P) [mg]","Potassium (K) [mg]","Selenium (Se) [ug]","Sodium (Na) [mg]","Zinc (Zn) [ug]","Fructose [g]","Glucose [mg]","Sucrose [g]","Maltose [mg]","Lactose [g]","Butyric acid (C4:0) [mg]","Caproic acid (C6:0) [mg]","Caprylic acid (C8:0) [g]","Capric acid (C10:0) [mg]","Lauric acid (C12:0) [mg]","Myristic acid (C14:0) [mg]","Palmitic acid (C16:0) [mg]","Stearic acid (C18:0) [mg]","Arachidic acid (C20:0) [mg]","Behenic acid (C22:0) [mg]","Lignoceric acid (C24:0) [mg]","Myristoleic acid (C14:1) [mg]","Palmitoleic acid (C16:1) [mg]","Oleic acid (C18:1n9) [g]","Elaidic acid (C18:1n9t) [g]","Eicosenoic acid (C20:1n9) [mg]","Erucic acid (C22:1n9) [g]","Nervonic acid (C24:1n9) [mg]","Linoleic acid (C18:2n6) [g]","Eicosadienoic acid (C20:2) [mg]","α-Linolenic acid (C18:3n3) [mg]","Arachidonic acid (C20:4n6) [mg]","Undecanoic acid (C11:0) [ug]","Pentadecanoic acid (C15:0) [mg]","Eicosatrienoic acid (C20:3n6) [mg]","Eicosapentaenoic acid (C20:5n3) [mg]","Docosahexaenoic acid (C22:6n3) [mg]","Docosadienoic acid (C22:2) [mg]","Docosapentaenoic acid (C22:5n3) [mg]","Histidine [mg]","Isoleucine [mg]","Leucine [mg]","Lysine [mg]","Methionine [mg]","Cysteine [mg]","Phenylalanine [mg]","Threonine [mg]","Tryptophan [mg]","Valine [mg]","Alanine [mg]","Arginine [mg]","Aspartic acid [mg]","Glucose [mg]","Glycine [mg]","Proline [mg]","Serine [mg]","Tyrosine [mg]","Oxalates [mg]","Soluble Oxalate [mg]","Insoluble Oxalate [mg]","Cis-Aconitic acid [mg]","Citric acid [mg]","Fumaric acid [mg]","Malic acid [mg]","Quinic acid [mg]","Succinic acid [mg]","Tartaric acid [mg]","3,4-Dihydroxy Benzoic acid [ug]","3-Hydroxy Benzaldehyde [ug]","Protocatechuic acid [ug]","Vanillic acid [ug]","Gallic acid [mg]","Cinnamic acid [ug]","o-Coumaric acid [ug]","p-Coumaric acid [ug]","Caffeic acid [ug]","Chlorogenic acid [mg]","Ferulic acid [ug]","Apigenin [mg]","Apigenin-6-C-gluoside [ug]","Apigenin-7-O-neohesperidoside [mg]","Luteolin [ug]","Kaempferol [mg]","Quercetin [mg]","Quercetin-3-β-D-glucoside [mg]","Quercetin-3-O-rutinoside [mg]","Quercetin-3-β-galactoside [mg]","Isorhamnetin [mg]","Myricetin [mg]","Resvertrol [ug]","Hesperetin [mg]","Naringenin [mg]","Hesperdin [mg]","Daidzein [mg]","Genistein [mg]","(-)-Epicatechin [mg]","(-)-Epigallo catechin [ug]","(-)-Epigallo catechin 3-gallate [ug]","(+)-Catechin [mg]","(-)-Gallocatechin gallate [ug]","(-)-Gallocatechin [ug]","Syringic acid [mg]","Sinapinic acid [mg]","Ellagic acid [mg]","Raffinose [mg]","Stachyose [mg]","Verbascose [mg]","Ajugose [mg]","Campesterol [mg]","Stigmasterol [mg]","β-Sitosterol [mg]","Carotenes [ug]","Xanthophylls [ug]","β-Carotene equivalents [ug]"
A001,"Amaranth seed, black",Amaranthus cruentus,A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,1490,9.89,2.78,0.00152983,5.74,0,7.02,59.98,14.59,13.842992,0.000121,0.0125,0.07135,0.00037,0,0.35757,0.393,1.42,1.3157,0.01975346,0.000028,0.003333,0,0,0.00129936,0,0.00005867,0.00017,0.0000018,1.28,3.312,2.27991,3.31253,0,1.033,2.279,0.02091,2.259,1.03262,0,0,5.76,1.26,56.71,55.83,0,0.88,4.327394,3.571632,5.943966,0,0.00004,0.00004,0.00045,0.00024,0.0005,0.00000192,0.00002744,0.00005867,0,0,0.00005,0.00028,0.00004,0,0,0,0,0,0.0000018,0,0.00001025,0,0,0,0,0,0,0.00332,0,0,0.181,0.001227,0.000059,0.00081,0.00933,0.000013,0.000028,0.325,0.00529,0,0.000016,0.000345,0.374,0.433,0.00001646,0.0027,0.00266,0.1,0.22,0.46,0.1,0,0,0,0,0,0,0.01564,1.043,0.155,0.038,0.01607,0.01214,0,0,1.02,0,0.01262,0,0,2.259,0,0.02091,0,0,0,0,0,0,0,0,0.271374,0.411438,0.704697,0.795155,0.271374,0.23344,0.580682,0.440618,0.21885,0.633206,0.621534,1.133643,1.833963,2.351908,1.24015,0.548584,1.136561,0.415815,0.226,0.03743,0.188,0,0.00864,0.00015,0.04578,0.07553,0.00147,0,0.00128,0,0.00021,0.00006,0,0,0,0.00006,0.00003,0.00021,0.00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0.00824,0.06136,0,0.00001025,0
A002,"Amaranth seed, pale brown",Amaranthus cruentus,A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,1489,9.2,3.05,0.001443,5.56,0,7.47,61.46,13.27,12.748489,0.00005968,0.01175,0.07024,0.00031,0,0.34132,0.341,1.28,1.25981,0.01577141,0.000008,0.002749,0,0,0.00123652,0,0.00005398,0.00015,0.0000025,1.14,3.309,2.26603,3.30874,0,1.043,2.266,0.04303,2.223,1.04271,0,0,5.8,1.67,60.13,59.33,0,0.8,4.107065,3.175511,5.465913,0,0.00004,0.00004,0.00052,0.00028,0.00033,0.00000187,0.00002465,0.00005398,0,0,0.00006,0.00022,0.00003,0,0,0,0,0,0.0000025,0,0.00000411,0,0,0,0,0,0,0.00273,0,0.000001,0.162,0.000092,0.000021,0.00056,0.00802,0.000018,0.000008,0.27,0.00444,0,0.000049,0.000048,0.412,0.413,0.00002141,0.00281,0.00252,0.1,0.22,0.48,0,0,0,0,0,0,0,0.01068,0.891,0.172,0.03602,0.01561,0.01351,0,0,1.03,0,0.01271,0,0,2.223,0,0.04303,0,0,0,0,0,0,0,0,0.262746,0.378195,0.655538,0.72985,0.258765,0.200377,0.630325,0.396773,0.224263,0.57061,0.508241,0.956767,1.68529,2.307653,1.098756,0.508241,0.964729,0.41137,0.209,0.0323,0.177,0.00014,0.00793,0.00014,0.04716,0.07506,0.00189,0,0.00123,0,0.00026,0.00004,0,0,0,0.00004,0.00003,0.0001,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158,0.00851,0.06015,0,0.00000411,0
A003,Bajra,Pennisetum typhoideum,"A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,1456,8.97,1.37,0.00239348,5.43,0,11.49,61.78,10.96,9.697408,0.000293,0.06771,0.09668,0.00152,0,0.05608,0.485,0,0.80946,0.01103237,0.000003,0.002221,7.7e-7,0.00002823,0.00211675,0,0.00000565,0.00024,0.00000285,0.875,3.031,1.984,3.03097,0,1.047,1.984,0.14,1.844,1.04,0,0.00697,9.14,2.34,56.02,55.21,0.09,0.81,3.716536,1.891696,4.089176,0,0.00025,0.0002,0.00086,0.0005,0.00027,6.4e-7,0.00003611,0.00000565,0,0,0.0001,0,0.00142,0,0,0,0,0,0.00000285,0,0.00002969,0.0000093,0,0,0,0,0.00002823,0.00221,9.7e-7,0.000003,0.02735,0.000025,0.00003,0.00054,0.00642,0.000008,0.000003,0.124,0.00112,7.7e-7,0.00005,0.000056,0.289,0.365,0.0000304,0.00411,0.00276,0.21,0.6,0,0,0,0,0,0,0,0,0,0.729,0.128,0.01821,0,0,0,0.00697,1.04,0,0,0,0,1.844,0,0.14,0,0,0,0,0,0,0,0,0.23564,0.37812,0.933792,0.349624,0.231256,0.134808,0.528272,0.38908,0.145768,0.524984,0.841728,0.497584,0.851592,1.909232,0.385792,0.58088,0.486624,0.292632,0.05313,0.04349,0.00988,0.00008,0,0.00199,0.00086,0,0.00002,0,0.00003,0.00011,0,0,0,0,0,0.00007,0.00025,0.00008,0.00139,0,0,0,0.00111,0.00014,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,0,0,0.01584,0.00497,0.07587,0.00002823,0.00003899,0.00002823
A004,Barley,Hordeum vulgare,A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,1321,9.77,1.06,0.00387581,1.3,0,15.64,61.29,10.94,10.71573,0.00006987,0.02347,0.05016,0.00001,0,0.01724,0.386,0,0.53117,0.00483661,0,0,0.00000184,0,0.00386396,0,0,0.00001,0.00000185,0.232,0.66579,0.57532,0.66611,0,0.09079,0.575,0.02632,0.549,0.09079,0,0,9.98,5.66,72.73,72.67,0.07,0.06,3.475638,2.616848,4.623244,0,0.00036,0.00018,0.00284,0.00014,0.00031,0.00000238,0.00003158,0,0,0,0.00001,0,0,0,0,0,0,0,0.00000185,0,0.00000539,0.0000019,0,0,0,0,0,0,0,0,0.02864,0.000029,0.000027,0.00043,0.00156,0,0,0.04897,0.00124,0.00000184,0.000032,0,0.178,0.268,0.00001861,0.00756,0.0015,0,0.06,0,0,0,0,0,0,0,0,0,0.209,0.02335,0,0,0,0,0,0.09079,0,0,0,0,0.549,0,0.02632,0,0,0,0,0,0,0,0,0.233022,0.397122,0.710006,0.374148,0.203484,0.24068,0.533872,0.36102,0.140032,0.522932,0.45948,0.571068,0.712194,2.92645,0.440882,1.071026,0.52512,0.293192,0.01098,0.00873,0.00204,0.00143,0,0,0.0009,0.00052,0.00017,0.00324,0,0,0.00043,0.00006,0,0,0,0.0017,0.00005,0.00275,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0.06,0.01,0,0,0.00616,0.00117,0.04283,0,0.00000729,0
A005,Jowar,Sorghum vulgare,A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,1398,9.01,1.39,0.00329619,1.73,0,10.22,67.68,9.97,9.523344,0.000212,0.02325,0.06517,0.00031,0,0.03461,0.549,0,0.76802,0.00770082,0.000001,0.00257,0.00000262,0.00000829,0.00318012,0,0.00000396,0.00006,0.00004382,0.163,0.838,0.52454,0.83854,0,0.314,0.524,0.01654,0.508,0.314,0,0,8.49,1.73,60.96,59.7,0.03,1.27,3.487506,1.86439,4.171448,0,0.00035,0.00014,0.0021,0.00027,0.00028,7e-7,0.00003942,0.00000396,0,0,0.00004,0,0.00027,0,0,0,0,0,0.00004382,0,0.00000908,0.00000748,0,0,0,0,0.00000829,0.00256,0.00000153,0.000002,0.0276,0.00001,0.000012,0.00045,0.00395,0.000008,0.000001,0.133,0.00119,0.00000262,0.000042,0.000059,0.274,0.328,0.00002629,0.00542,0.00196,0.57,0.1,0.6,0,0,0,0,0,0,0,0,0.149,0.01422,0,0,0,0,0,0.314,0,0,0,0,0.508,0,0.01654,0,0,0,0,0,0,0,0,0.206379,0.343965,1.199391,0.230307,0.151544,0.105682,0.50847,0.295112,0.102691,0.449647,0.916243,0.394812,0.706873,2.147538,0.307076,0.696903,0.400794,0.359917,0.02838,0.02462,0.00172,0,0,0.00184,0.00051,0,0.00388,0,0.00002,0.00002,0.00007,0.00176,0.00006,0,0,0.00184,0.00169,0.00404,0.00159,0.00007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0.02159,0.00531,0.03827,0.00000829,0.00001656,0.00000829
A006,"Maize, dry",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,1398,9.26,1.17,0.0045084,3.77,0,12.24,64.77,8.8,8.49728,0.000893,0.03292,0.10441,0.00188,0.00005,0.02013,0.646,0,0.72835,0.00601869,0.000002,0.00282,0.00000319,0.000296,0.0038163,0,0.0000336,0.00036,0.0000025,0.413,2.312,1.60576,2.31238,0,0.706,1.606,0.04076,1.565,0.70662,0,0,11.29,0.94,61.01,59.35,0,1.66,3.3176,1.81368,3.366,0,0.00033,0.00009,0.00269,0.00034,0.00034,4.9e-7,0.00002581,0.0000336,0,0,0.00021,0,0.00129,0.00038,0.00005,0,0,0,0.0000025,0,0.000186,0.0000424,0,0.00011,0,0,0.000186,0.00282,0,0,0.00891,0.00001,0.00001,0.00045,0.00249,0,0.000002,0.145,0.00071,0.00000319,0.000035,0.000035,0.279,0.291,0.00000869,0.00444,0.00227,0.16,0.8,0.7,0,0,0,0,0,0,0,0,0.363,0.04245,0.00714,0,0,0,0,0.7,0,0.00662,0,0,1.565,0,0.04076,0,0,0,0,0,0,0,0,0.2376,0.32296,1.07712,0.23232,0.1848,0.1364,0.45232,0.28424,0.05016,0.47608,0.68024,0.3696,0.5764,1.70632,0.28776,0.69344,0.40304,0.32648,0.01526,0.01419,0.00273,0,0,0.00066,0.00093,0.00084,0.0015,0.00094,0.00007,0,0.00293,0.00296,0,0,0,0.00284,0.00291,0.00101,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01249,0.00422,0.0877,0.000186,0.0003384,0.000296
A007,"Maize, tender, local",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,502,68.29,0.38,0.00675253,1.4,0,3.67,22.69,3.57,3.411849,0.001428,0.019,0.0525,0.00048,0,0.01408,0.148,0,0.38621,0.00225283,0,0.000121,0,0.00007353,0.00228466,0.00426,0.00004234,0.00009,0.000002,0.109,0.494,0.34746,0.49431,0,0.147,0.347,0.01046,0.337,0.14685,0,0,3.23,0.43,17.35,15.88,0,1.47,1.089564,0.706503,1.615782,0,0.00017,0.00012,0.00113,0.00035,0.00045,0.0000017,0.00006296,0.00004234,0,0,0.00005,0,0.0004,0.00003,0,0,0,0,0.000002,0,0.00011,0.00002653,0,0.00003726,0,0,0.00003627,0.00012,0,0,0.00635,0.000004,0,0.00018,0.00071,0.000001,0,0.04762,0.00036,0,0.000009,0.000016,0.163,0.167,0.00000383,0.00224,0.00097,0.27,0.8,0.4,0,0,0,0,0,0,0,0,0.09613,0.01088,0.00237,0,0,0,0,0.145,0,0.00185,0,0,0.337,0,0.01046,0,0,0,0,0,0,0,0,0.076755,0.126735,0.360213,0.072114,0.059619,0.042126,0.141015,0.106029,0.020706,0.126378,0.35343,0.108885,0.329868,0.715785,0.16065,0.282387,0.216699,0.112455,0.0052,0.00398,0.00092,0.00029,0,0.00046,0.00073,0.00183,0.00122,0.00435,0.00004,0,0.00124,0.00285,0,0,0,0.00055,0.00055,0.00092,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578,0.00291,0.04381,0.00003627,0.00017379,0.00007353
A008,"Maize, tender, sweet",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,4,vegetarian eggetarian fishetarian veg,405,74.4,0.36,0.00808578,1.35,0,3.3,16.42,4.16,3.85008,0.001035,0.00154,0.04997,0.0004,0,0.01205,0.221,0,0.46311,0.00176017,0,0.00011,0,0.00010542,0.00214162,0.00572,0.00001694,0.0001,0.0000018,0.123,0.476,0.29965,0.4757,0,0.176,0.3,0.00765,0.292,0.17605,0,0,2.71,0.59,12.11,7.45,0,4.67,1.27088,0.8944,1.6848,0,0.0001,0.00014,0.00114,0.00032,0.00038,0.00000191,0.00005971,0.00001694,0,0,0.00007,0,0.0003,0.00003,0,0,0,0,0.0000018,0,0.000108,0.00002819,0,0.00005841,0,0,0.00004701,0.00011,0,0,0.00637,0.000002,0.000001,0.00011,0.00054,0,0,0.03651,0.00032,0,0.000006,0.000009,0.121,0.297,0.00000217,0.00223,0.00077,0.91,0.97,2.79,0,0,0,0,0,0,0,0,0.106,0.01436,0.00295,0,0,0,0,0.174,0,0.00205,0,0,0.292,0,0.00765,0,0,0,0,0,0,0,0,0.089856,0.14352,0.441376,0.085696,0.073216,0.056576,0.12688,0.119808,0.02912,0.161408,0.316576,0.151008,0.35568,0.778752,0.19344,0.35776,0.233792,0.135616,0.00167,0.00145,0.00034,0.00026,0,0.00078,0.00064,0.00456,0.0019,0.00224,0.00003,0,0.00109,0.00143,0,0,0,0.0005,0.00051,0.00087,0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563,0.00263,0.04171,0.00004701,0.0001946,0.00010542
A009,Quinoa,Chenopodium quinoa,,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,1374,10.43,2.65,0.00584074,5.5,0,14.66,53.65,13.11,11.401767,0.000153,0.074,0.0489,0.00499,0,0.11031,0.12,0,1.0075,0.01308584,0,0.000002,0,0.00000512,0.00375362,0,0,0.00208,0.000002,0.57,3.83,2.407,3.8312,0,1.424,2.406,0.204,2.203,1.323,0.04441,0.05679,10.21,4.46,49.82,48.41,0,1.41,4.425936,2.903865,4.071966,0,0.00083,0.00022,0.0017,0.00062,0.00021,6.2e-7,0.000173,0,0,0,0.00208,0.00006,0.00285,0,0,0,0,0,0.000002,0,0.00001188,0.00001005,0,0,0,0,0.00000512,0,3e-8,0.000002,0.198,0.000004,0,0.00048,0.00751,0,0,0.119,0.00177,0,0,0.000004,0.212,0.474,0.00000781,0.0045,0.00331,0,1.41,0,0,0,0,0,0,0,0,0.08276,0.434,0.05288,0,0,0,0.04441,0.05679,1.323,0,0,0,0,2.203,0,0.204,0,0,0,0,0,0,0,0,0.390678,0.491625,0.797088,0.727605,0.293664,0.242535,0.570285,0.394611,0.163875,0.596505,0.570285,1.029135,1.10124,1.802625,0.62928,0.743337,0.597816,0.259578,0.08294,0.04222,0.04072,0,0,0.02507,0.00023,0,0.00207,0,0.0067,0.00044,0.0097,0.0049,0,0.00011,0.00002,0,0.00013,0,0,0,0,0.00013,0.00019,0.0036,0.0019,0.0034,0.0044,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06572,0,0,0,0,0,0.00091,0.00189,0.0461,0.00000512,0.00002193,0.00000512
A010,Ragi,Eleusine coracana,A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,1342,10.89,2.04,0.00246153,1.92,0,11.18,66.82,7.16,6.653788,0.000154,0.135,0.06558,0.00075,0,0.04402,0.306,0,1.16775,0.0111683,0.000003,0.003649,0.00000396,0.00000153,0.00225554,0,0.00004146,0.00016,0.000003,0.317,1.016,0.43058,1.01558,0,0.585,0.431,0.06858,0.362,0.585,0,0,9.51,1.67,62.47,62.13,0.02,0.34,2.62056,1.302404,2.730824,0,0.00037,0.00017,0.00134,0.00029,0.00005,8.8e-7,0.00003466,0.00004146,0,0,0.00009,0,0.00066,0,0,0,0,0,0.000003,0,0.00002553,0.00000145,0,0,0,0,0.00000153,0.00364,0,0.000004,0.364,0.000032,0.000022,0.00067,0.00462,0.000005,0.000003,0.146,0.00319,0.00000396,0.000011,0.000078,0.21,0.443,0.0000153,0.00475,0.00253,0,0.25,0.12,0,0,0,0,0,0,0,0,0.29,0.02786,0,0,0,0,0,0.585,0,0,0,0,0.362,0,0.06858,0,0,0,0,0,0,0,0,0.169692,0.26492,0.634376,0.202628,0.196184,0.105968,0.40812,0.274944,0.065156,0.40454,0.480436,0.310028,0.45824,1.447752,0.257044,0.388072,0.344396,0.241292,0.03958,0.03116,0.00858,0,0,0.0002,0.00075,0,0.00189,0.0016,0,0,0.00238,0.00034,0.00138,0,0,0,0,0,0,0.00258,0,0.01045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01552,0,0,0,0.00028,0,0.02,0,0,0,0.00567,0.00255,0.05736,0.00000153,0.00002698,0.00000153
